"source","term_literal","term_uri","text","validation_outcome"
"/08602/D15_49","Zingara","http://data.europa.eu/c4p/data/t_14_it","Roma Paul Anka si fa leggere la mano da una zingara","accept"
"/08602/IL3000052348","Razza","http://data.europa.eu/c4p/data/t_12_it","55 - visita del corteo delle autorità fasciste alla cappella votiva di Luigi Razza","reject"
"/08602/IL3000053189","Clandestino","http://data.europa.eu/c4p/data/t_1_it","41 - nella casa della famiglia Natan Rosselli viene ospitato clandestino con generalità di commerciante inglese","accept"
"/08602/IL3000090280","Prostituta","http://data.europa.eu/c4p/data/t_29_it","72 - manifesto di Ordine Nuovo affisso sui muri in cui si parla letteralmente di ""invertiti prostitute ruffiani teppisti rapinatori""","accept"
"/08602/IL3000092222","Negro","http://data.europa.eu/c4p/data/t_7_it","116 - Pierluigi Negro, seduto in poltrona, continua il suo racconto","reject"
"/08602/IL3000092222","Negro","http://data.europa.eu/c4p/data/t_7_it","109 - Pierluigi Negro, seduto nel salotto di casa in compagnia della moglie,   racconta la sua esperienza di emigrato in Germania","reject"
"/08602/IL3000096343","Razza","http://data.europa.eu/c4p/data/t_12_it","97 - Villaggio agricolo Luigi Razza","reject"
"/08602/IL3000096343","Razza","http://data.europa.eu/c4p/data/t_12_it","99 - p.p. di una targa dedicata a Luigi Razza","reject"
"/08602/IL5000037752","Prostituta","http://data.europa.eu/c4p/data/t_29_it","33 - manifesto di Ordine Nuovo affisso sui muri in cui si parla letteralmente di ""invertiti prostitute ruffiani teppisti rapinatori""","accept"
"/08602/IL5000037837","Sordo","http://data.europa.eu/c4p/data/t_81_it","1 - fiction: si avvicina Sordi nel ruolo dell'ex marito della Massari","reject"
"/08602/VedoIL0000001132_gen14","Zingara","http://data.europa.eu/c4p/data/t_14_it","Immagine della giovane zingara nello studio degli avvocati accanto ad un uomo - piano americano","accept"
"/08602/VedoIL0000002877_gen1","Sordo","http://data.europa.eu/c4p/data/t_81_it","""VOTAZIONI SORDI""(da DBF). Elezioni amministrative italiane. Alberto Sordi vota","reject"
"/08602/VedoIL0000007876_gen12","Terrone","http://data.europa.eu/c4p/data/t_44_it","Terry Terrone in posa in un interno. Campo medio","reject"
"/08602/VedoIL0000009846_gen28","Sordo","http://data.europa.eu/c4p/data/t_81_it","(da sinistra) Lizzani, Manfredi, Sordi, Stroyberg, Gassman, De Laurentiis, Comencini e Camerini alla conferenza stampa sulle attività della De Laurentiis - campo medio","reject"
"/08602/VedoIL0000009846_gen29","Sordo","http://data.europa.eu/c4p/data/t_81_it","(da sinistra) Sordi, Stroyberg, Gassman, De Laurentiis, Comencini, Camerini, Antonioni e Blasetti alla conferenza stampa sulle attività della De Laurentiis - campo medio","reject"
"/08602/d341_31","Sordo","http://data.europa.eu/c4p/data/t_81_it","Ciampino Silvana Mangano, Alberto Sordi ed altre personalità, all'aeroporto di Ciampino in occasione della partenza di Monicelli e De Laurentiis per New York, fanno cenni di saluto","reject"
